date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2016-04-13,112.733,112.588,112.767,112.58,11175,124428472.0,0.17,-0.17,-0.188,3.87
2016-04-14,112.583,112.43,112.654,112.335,13400,148963633.0,0.28,-0.14,-0.158,4.64
2016-04-15,112.477,112.424,112.477,112.365,16534,183692612.0,0.1,-0.01,-0.006,5.72
2016-04-18,112.424,112.494,112.541,112.424,3405,37865122.0,0.1,0.06,0.07,1.18
2016-04-19,112.495,112.54,112.564,112.495,17107,190340025.0,0.06,0.04,0.046,5.92
2016-04-20,112.505,112.409,112.52,112.374,10353,115091841.0,0.13,-0.12,-0.131,3.58
2016-04-21,112.276,111.933,112.278,111.855,4936,54673157.0,0.38,-0.42,-0.476,1.71
2016-04-22,111.951,111.905,111.981,111.884,5412,59871571.0,0.09,-0.03,-0.028,1.87
2016-04-25,111.867,111.31,111.867,111.3,5692,62773035.0,0.51,-0.53,-0.595,1.97
2016-04-26,111.31,111.479,111.49,111.287,16841,185528214.0,0.18,0.15,0.169,5.83
2016-04-27,111.476,111.577,111.628,111.474,20562,226838653.0,0.14,0.09,0.098,7.12
2016-04-28,111.629,111.924,111.925,111.629,5094,56332225.0,0.27,0.31,0.347,1.76
2016-04-29,111.924,111.969,111.98,111.91,68825,761475440.0,0.06,0.04,0.045,23.82
2016-05-03,111.971,112.032,112.032,111.97,20076,222304074.0,0.06,0.06,0.063,6.95
2016-05-04,112.02,112.01,112.064,111.98,7276,80583528.0,0.07,-0.02,-0.022,2.52
2016-05-05,112.025,112.083,112.09,112.025,12322,136504952.0,0.06,0.07,0.073,4.26
2016-05-06,112.079,112.013,112.079,111.933,9871,109330434.0,0.13,-0.06,-0.07,3.42
2016-05-09,112.016,112.101,112.194,112.016,5542,61427550.0,0.16,0.08,0.088,1.92
2016-05-10,112.156,112.262,112.275,112.156,13103,145417207.0,0.11,0.14,0.161,4.53
2016-05-11,112.269,112.327,112.338,112.269,8902,98841063.0,0.06,0.06,0.065,3.08
2016-05-12,112.317,112.522,112.523,112.305,3135,34840258.0,0.19,0.17,0.195,1.08
2016-05-13,112.379,112.584,112.606,112.379,8445,93956196.0,0.2,0.06,0.062,2.92
2016-05-16,112.569,112.306,112.705,112.28,7538,83874659.0,0.38,-0.25,-0.278,2.61
2016-05-17,112.287,112.324,112.408,112.287,19671,218422855.0,0.11,0.02,0.018,6.81
2016-05-18,112.322,112.212,112.33,112.18,16192,179607093.0,0.13,-0.1,-0.112,5.6
2016-05-19,112.161,112.115,112.191,112.061,9699,107481517.0,0.12,-0.09,-0.097,3.36
2016-05-20,112.105,112.26,112.266,112.105,4386,48628258.0,0.14,0.13,0.145,1.52
2016-05-23,112.124,112.166,112.324,112.123,8129,90132216.0,0.18,-0.08,-0.094,2.81
2016-05-24,112.14,112.179,112.19,112.125,1836,20353894.0,0.06,0.01,0.013,0.64
2016-05-25,112.174,112.233,112.253,112.151,9666,107217168.0,0.09,0.05,0.054,3.35
2016-05-26,112.223,112.163,112.223,112.126,2619,29039511.0,0.09,-0.06,-0.07,0.91
2016-05-27,112.18,112.176,112.213,112.13,22578,250346321.0,0.07,0.01,0.013,7.81
2016-05-30,112.179,112.133,112.198,112.092,15113,167546321.0,0.09,-0.04,-0.043,5.23
2016-05-31,112.091,112.171,112.173,112.091,15822,175366292.0,0.07,0.03,0.038,5.48
2016-06-01,112.16,112.184,112.195,112.085,4938,54754472.0,0.1,0.01,0.013,1.71
2016-06-02,112.18,112.08,112.18,112.013,9458,104840844.0,0.15,-0.09,-0.104,3.27
2016-06-03,112.011,112.035,112.112,112.011,26439,292929584.0,0.09,-0.04,-0.045,9.15
2016-06-06,112.035,112.051,112.066,112.031,9183,101722757.0,0.03,0.01,0.016,3.18
2016-06-07,112.054,112.074,112.121,112.037,13217,146439265.0,0.07,0.02,0.023,4.57
2016-06-08,112.063,112.177,112.186,112.063,3131,34715743.0,0.11,0.09,0.103,1.08
2016-06-13,112.16,112.19,112.217,112.085,3352,37172896.0,0.12,0.01,0.013,1.16
