日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-05-03,1.238,1.245,1.245,1.232,1983,246357.0,1.05,0.48,0.006,0.0
2016-05-04,1.24,1.232,1.245,1.231,5345,661857.0,1.12,-1.04,-0.013,0.01
2016-05-05,1.232,1.226,1.234,1.222,8901,1091688.0,0.97,-0.49,-0.006,0.01
2016-05-06,1.23,1.225,1.23,1.225,1982,243029.0,0.41,-0.08,-0.001,0.0
2016-05-09,1.231,1.25,1.25,1.228,4004,494569.0,1.8,2.04,0.025,0.0
2016-05-10,1.249,1.246,1.256,1.236,6982,865511.0,1.6,-0.32,-0.004,0.01
2016-05-11,1.25,1.256,1.258,1.25,3405,427507.0,0.64,0.8,0.01,0.0
2016-05-12,1.25,1.25,1.25,1.242,3725,464989.0,0.64,-0.48,-0.006,0.0
2016-05-13,1.241,1.242,1.253,1.231,3580,444739.0,1.76,-0.64,-0.008,0.0
2016-05-16,1.226,1.235,1.237,1.226,4878,602233.0,0.89,-0.56,-0.007,0.0
2016-05-17,1.239,1.241,1.249,1.239,4752,590758.0,0.81,0.49,0.006,0.0
2016-05-18,1.238,1.231,1.238,1.228,3426,421678.0,0.81,-0.81,-0.01,0.0
2016-05-19,1.231,1.232,1.236,1.229,5151,633804.0,0.57,0.08,0.001,0.01
2016-05-20,1.232,1.23,1.232,1.228,3198,393864.0,0.32,-0.16,-0.002,0.0
2016-05-23,1.238,1.236,1.238,1.233,4040,498795.0,0.41,0.49,0.006,0.0
2016-05-24,1.236,1.232,1.236,1.23,1927,237470.0,0.49,-0.32,-0.004,0.0
2016-05-25,1.245,1.247,1.248,1.243,4872,606637.0,0.41,1.22,0.015,0.0
2016-05-26,1.249,1.254,1.257,1.249,7217,903279.0,0.64,0.56,0.007,0.01
2016-05-27,1.257,1.256,1.257,1.253,2294,287791.0,0.32,0.16,0.002,0.0
2016-05-30,1.256,1.279,1.282,1.256,18586,2368832.0,2.07,1.83,0.023,0.02
2016-05-31,1.282,1.282,1.282,1.27,4014,513116.0,0.94,0.23,0.003,0.0
2016-06-01,1.282,1.279,1.286,1.277,2901,371611.0,0.7,-0.23,-0.003,0.0
2016-06-02,1.281,1.277,1.281,1.274,1451,185300.0,0.55,-0.16,-0.002,0.0
2016-06-03,1.278,1.274,1.29,1.263,8086,1033273.0,2.11,-0.23,-0.003,0.01
2016-06-06,1.274,1.266,1.275,1.263,8633,1094152.0,0.94,-0.63,-0.008,0.01
2016-06-07,1.272,1.27,1.274,1.265,10656,1351813.0,0.71,0.32,0.004,0.01
2016-06-08,1.27,1.273,1.274,1.266,5682,721618.0,0.63,0.24,0.003,0.01
2016-06-13,1.265,1.258,1.265,1.255,8264,1039955.0,0.79,-1.18,-0.015,0.01
2016-06-14,1.251,1.259,1.259,1.251,4936,620217.0,0.64,0.08,0.001,0.0
2016-06-15,1.263,1.265,1.265,1.255,2647,333871.0,0.79,0.48,0.006,0.0
2016-06-16,1.263,1.262,1.263,1.257,2029,255727.0,0.47,-0.24,-0.003,0.0
2016-06-17,1.267,1.265,1.267,1.261,2135,269560.0,0.48,0.24,0.003,0.0
2016-06-20,1.275,1.275,1.275,1.263,3343,423996.0,0.95,0.79,0.01,0.0
2016-06-21,1.275,1.275,1.275,1.268,1675,213141.0,0.55,0.0,0.0,0.0
2016-06-22,1.275,1.269,1.277,1.269,4497,572445.0,0.63,-0.47,-0.006,0.0
2016-06-23,1.269,1.272,1.274,1.269,1298,165179.0,0.39,0.24,0.003,0.0
2016-06-24,1.276,1.259,1.285,1.24,10655,1342265.0,3.54,-1.02,-0.013,0.01
2016-06-27,1.24,1.26,1.277,1.24,4437,559144.0,2.94,0.08,0.001,0.0
2016-06-28,1.259,1.256,1.26,1.222,10388,1289639.0,3.02,-0.32,-0.004,0.01
2016-06-29,1.273,1.264,1.274,1.263,4302,545399.0,0.88,0.64,0.008,0.0
2016-06-30,1.269,1.285,1.285,1.269,7526,961858.0,1.27,1.66,0.021,0.01
2016-07-01,1.29,1.294,1.296,1.289,2256,291731.0,0.54,0.7,0.009,0.0
2016-07-04,1.295,1.283,1.298,1.28,18822,2418441.0,1.39,-0.85,-0.011,0.02
2016-07-05,1.282,1.282,1.285,1.281,3123,400709.0,0.31,-0.08,-0.001,0.0
2016-07-06,1.282,1.283,1.284,1.28,2698,345886.0,0.31,0.08,0.001,0.0
