日期,权益,现金,再平衡,当日盈亏,当日收益率,510300_数量,510300_现价,510300_市值,510300_占比,510300_次日价,511010_数量,511010_现价,511010_市值,511010_占比,511010_次日价,511880_数量,511880_现价,511880_市值,511880_占比,511880_次日价,518880_数量,518880_现价,518880_市值,518880_占比,518880_次日价
2016-04-25,1000000.0,0.0,1,0.0,0.0,75255.87,3.322,250000.0,0.25,3.34,2245.98,111.31,250000.0,0.25,111.479,2238.28,111.693,250000.0,0.25,111.694,96974.4,2.578,250000.0,0.25,2.573
2016-04-26,1001251.54,0.0,0,1251.54,0.001253,75255.87,3.34,251354.61,0.25104,3.325,2245.98,111.479,250379.57,0.250067,111.577,2238.28,111.694,250002.24,0.24969,111.713,96974.4,2.573,249515.13,0.249203,2.601
2016-04-27,1003100.62,0.0,0,1849.08,0.00185,75255.87,3.325,250225.77,0.249452,3.323,2245.98,111.577,250599.68,0.249825,111.924,2238.28,111.713,250044.77,0.249272,111.735,96974.4,2.601,252230.41,0.251451,2.613
2016-04-28,1004942.4,0.0,0,1841.78,0.001839,75255.87,3.323,250075.26,0.248845,3.319,2245.98,111.924,251379.03,0.250143,111.969,2238.28,111.735,250094.01,0.248864,111.751,96974.4,2.613,253394.1,0.252148,2.66
2016-04-29,1009336.05,0.0,0,4393.65,0.004391,75255.87,3.319,249774.23,0.247464,3.38,2245.98,111.969,251480.1,0.249154,112.032,2238.28,111.751,250129.82,0.247816,111.742,96974.4,2.66,257951.9,0.255566,2.702
2016-05-03,1018120.94,0.0,0,8784.89,0.00878,75255.87,3.38,254364.84,0.249838,3.368,2245.98,112.032,251621.6,0.247143,112.01,2238.28,111.742,250109.68,0.245658,111.747,96974.4,2.702,262024.83,0.257361,2.677
2016-05-04,1014755.29,0.0,0,-3365.65,-0.003295,75255.87,3.368,253461.77,0.249776,3.368,2245.98,112.01,251572.19,0.247914,112.083,2238.28,111.747,250120.87,0.246484,111.758,96974.4,2.677,259600.47,0.255826,2.675
2016-05-05,1014749.92,0.0,0,-5.37,-5e-06,75255.87,3.368,253461.77,0.249778,3.295,2245.98,112.083,251736.14,0.248077,112.013,2238.28,111.758,250145.49,0.246509,111.778,96974.4,2.675,259406.52,0.255636,2.68
2016-05-06,1009628.66,0.0,0,-5121.26,-0.005021,75255.87,3.295,247968.09,0.245603,3.231,2245.98,112.013,251578.92,0.24918,112.101,2238.28,111.778,250190.25,0.247804,111.791,96974.4,2.68,259891.39,0.257413,2.67
2016-05-09,1004069.28,0.0,0,-5559.38,-0.005476,75255.87,3.231,243151.72,0.242166,3.228,2245.98,112.101,251776.57,0.250756,112.262,2238.28,111.791,250219.35,0.249205,111.814,96974.4,2.67,258921.64,0.257872,2.657
2016-05-10,1002995.93,0.0,0,-1073.35,-0.001068,75255.87,3.228,242925.95,0.2422,3.24,2245.98,112.262,252138.17,0.251385,112.327,2238.28,111.814,250270.83,0.249523,111.805,96974.4,2.657,257660.98,0.256891,2.669
2016-05-11,1005188.54,0.0,0,2192.61,0.002191,75255.87,3.24,243829.02,0.24257,3.251,2245.98,112.327,252284.16,0.250982,112.522,2238.28,111.805,250250.69,0.248959,111.807,96974.4,2.669,258824.67,0.257489,2.66
2016-05-12,1005586.03,0.0,0,397.49,0.000396,75255.87,3.251,244656.83,0.243298,3.24,2245.98,112.522,252722.13,0.251318,112.584,2238.28,111.807,250255.16,0.248865,111.823,96974.4,2.66,257951.9,0.256519,2.682
2016-05-13,1007066.71,0.0,0,1480.69,0.001475,75255.87,3.24,243829.02,0.242118,3.252,2245.98,112.584,252861.38,0.251087,112.306,2238.28,111.823,250290.98,0.248535,111.832,96974.4,2.682,260085.34,0.25826,2.695
2016-05-16,1008626.21,0.0,0,1559.5,0.001551,75255.87,3.252,244732.09,0.242639,3.247,2245.98,112.306,252237.0,0.25008,112.324,2238.28,111.832,250311.12,0.24817,111.839,96974.4,2.695,261346.0,0.259111,2.682
2016-05-17,1007045.36,0.0,0,-1580.85,-0.001565,75255.87,3.247,244355.81,0.242646,3.227,2245.98,112.324,252277.42,0.250512,112.212,2238.28,111.839,250326.79,0.248575,111.845,96974.4,2.682,260085.34,0.258266,2.681
2016-05-18,1005205.15,0.0,0,-1840.21,-0.001824,75255.87,3.227,242850.69,0.241593,3.221,2245.98,112.212,252025.87,0.250721,112.115,2238.28,111.845,250340.22,0.249044,111.852,96974.4,2.681,259988.36,0.258642,2.64
