日期,股票,权益,再平衡,持有数量,持有成本,现金价值,当日盈亏,当日收益率,资产占比
2024/01/01,A,250000.0,,2500.0,100.0,250000.0,0.0,,25.0000%
2024/01/01,B,250000.0,,2500.0,100.0,250000.0,0.0,,25.0000%
2024/01/01,C,250000.0,,2500.0,100.0,250000.0,0.0,,25.0000%
2024/01/01,D,250000.0,,2500.0,100.0,250000.0,0.0,,25.0000%
2024/01/01,总结,1000000.0,1,,,,0.0,0.0000%,
2024/01/02,A,312500.0,,1562.5,200.0,312500.0,62500.0,25.0000%,25.0000%
2024/01/02,B,312500.0,,3125.0,100.0,312500.0,62500.0,25.0000%,25.0000%
2024/01/02,C,312500.0,,3125.0,100.0,312500.0,62500.0,25.0000%,25.0000%
2024/01/02,D,312500.0,,3125.0,100.0,312500.0,62500.0,25.0000%,25.0000%
2024/01/02,总结,1250000.0,1,,,,250000.0,25.0000%,
2024/01/03,A,312500.0,,1562.5,200.0,312500.0,0.0,0.0000%,25.0000%
2024/01/03,B,312500.0,,3125.0,100.0,312500.0,0.0,0.0000%,25.0000%
2024/01/03,C,312500.0,,3125.0,100.0,312500.0,0.0,0.0000%,25.0000%
2024/01/03,D,312500.0,,3125.0,100.0,312500.0,0.0,0.0000%,25.0000%
2024/01/03,总结,1250000.0,0,,,,0.0,0.0000%,
